trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.995}",30,12,-142.66874470248496,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 3}",1
2,False,"{'a': 0.6, 'e': 0.99002500000000004}",30,0,-97.19343219020081,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.6, 'e': 0.98507487500000002}",25,0,-81.51391028656934,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.98014950062499995}",20,0,-78.85604902305037,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.97524875312187498}",20,0,-114.60678685672022,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
6,False,"{'a': 0.6, 'e': 0.97037250935626562}",25,0,-133.0013483813172,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.6, 'e': 0.96552064680948424}",25,0,-106.65642030094169,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.96069304357543683}",25,0,-94.53904224356113,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.95588957835755961}",25,0,-30.22270091355199,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.6, 'e': 0.95111013046577186}",30,13,-57.365796245926695,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.6, 'e': 0.94635457981344295}",20,0,-118.29743789762442,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.6, 'e': 0.94162280691437572}",35,16,-16.05792247352162,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.6, 'e': 0.93691469287980389}",20,0,-127.95644336324634,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.6, 'e': 0.9322301194154049}",35,0,-118.26179331989412,"{0: 18, 1: 8, 2: 8, 3: 1, 4: 0}",0
15,False,"{'a': 0.6, 'e': 0.92756896881832784}",30,0,-132.47172179609183,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.6, 'e': 0.92293112397423616}",25,0,-73.85786119321642,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.6, 'e': 0.91831646835436498}",20,0,-24.30892260561329,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.6, 'e': 0.91372488601259316}",20,0,-132.0082780393409,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.6, 'e': 0.90915626158253016}",30,0,-107.58988223324457,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.6, 'e': 0.90461048027461755}",25,0,-65.55676799435075,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
21,False,"{'a': 0.6, 'e': 0.90008742787324447}",35,0,-111.68788165535433,"{0: 21, 1: 6, 2: 7, 3: 0, 4: 1}",0
22,False,"{'a': 0.6, 'e': 0.89558699073387826}",25,0,-71.08509737894386,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.6, 'e': 0.89110905578020883}",20,0,-159.61368091318715,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
24,False,"{'a': 0.6, 'e': 0.88665351050130781}",25,0,-111.3188638268901,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
25,False,"{'a': 0.6, 'e': 0.88222024294880119}",35,0,-95.93951714663172,"{0: 23, 1: 3, 2: 8, 3: 1, 4: 0}",0
26,False,"{'a': 0.6, 'e': 0.87780914173405722}",25,0,-194.29233140176547,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
27,False,"{'a': 0.6, 'e': 0.87342009602538695}",25,0,-87.03577663578629,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
28,False,"{'a': 0.6, 'e': 0.86905299554526005}",30,0,-79.43686690385958,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
29,False,"{'a': 0.6, 'e': 0.86470773056753369}",20,8,-37.18355021500124,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
30,False,"{'a': 0.6, 'e': 0.86038419191469606}",20,0,-46.619204576792384,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
31,False,"{'a': 0.6, 'e': 0.85608227095512257}",25,0,-80.90494190820897,"{0: 15, 1: 7, 2: 2, 3: 0, 4: 1}",0
32,False,"{'a': 0.6, 'e': 0.85180185960034693}",20,0,-38.891215403566456,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
33,False,"{'a': 0.6, 'e': 0.84754285030234522}",30,0,-192.41171712541149,"{0: 13, 1: 6, 2: 8, 3: 1, 4: 2}",0
34,False,"{'a': 0.6, 'e': 0.84330513605083346}",25,6,-52.81829892516067,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
35,False,"{'a': 0.6, 'e': 0.83908861037057925}",30,0,-168.31881436119983,"{0: 14, 1: 7, 2: 7, 3: 0, 4: 2}",0
36,False,"{'a': 0.6, 'e': 0.83489316731872643}",20,15,10.024799046133332,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.6, 'e': 0.83071870148213278}",25,0,-55.61344775201588,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
38,False,"{'a': 0.6, 'e': 0.82656510797472205}",30,4,-102.4449262245194,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 2}",1
39,False,"{'a': 0.6, 'e': 0.82243228243484845}",30,1,-71.57444813323129,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 1}",1
40,False,"{'a': 0.6, 'e': 0.81832012102267426}",30,0,-91.03573675048412,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
41,False,"{'a': 0.6, 'e': 0.81422852041756089}",25,0,-28.32735495260038,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
