trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,12,-142.66874470248496,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-97.19343219020081,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.74659891172347,"{0: 10, 1: 4, 2: 11, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.85604902305037,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.60678685672022,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.0013483813172,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.92466743979814,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.53904224356113,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-45.29419805721855,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-122.40177087358367,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-71.65556409750653,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.42229710606201,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-205.73541968459713,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.33028317162518,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-180.23558898357837,"{0: 20, 1: 6, 2: 5, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.3725968812824,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.70693640513093,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-121.35582660800908,"{0: 23, 1: 6, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.84081001966538,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.80790901346536,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.1264501272573,"{0: 12, 1: 7, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-8.819764562214354,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-205.86998304072003,"{0: 9, 1: 3, 2: 10, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,9,-59.96652038770139,"{0: 12, 1: 4, 2: 4, 3: 1, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.2217360587627,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-91.36949137278683,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-181.317593966644,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-177.28202587768524,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-107.50136093932515,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-193.43025905805007,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
